inventor,patents,coworkers_patents
FURMANIK KAZIMIERZ,2,2.0
FYDA JANUSZ,3,3.760869565217391
GABIG-CIMINSKA MAGDALENA,1,12.28
GABRIEL-POLROLNICZAK URSZULA,1,5.333333333333333
GABRYELEWICZ TOMASZ,1,4.666666666666667
GAJ PAWEL,1,9.0
GAJC MARCIN,2,1.5714285714285714
GAJDA JANUSZ,2,3.0
GAJDA MARIUSZ,4,1.0
GAJEWSKI PIOTR,1,1.4285714285714286
GAJEWSKI WLADYSLAW,1,15.333333333333334
GALA KAMILA,2,3.9545454545454546
GALAS JACEK,17,10.933333333333334
GALESKI ANDRZEJ,12,8.857142857142858
GALEZOWSKI MICHAL,35,36.0
GALINA HENRYK,4,6.25
GALKA JAKUB,1,10.2
GALKA-MARCINIAK PAULINA,4,4.25
GAMBIN WIKTOR,1,4.666666666666667
GAMIAN ANDRZEJ,44,6.75
GANCARZ ROMAN,2,7.75
GARBARCZYK JOZEF,2,5.428571428571429
GARBAT KATARZYNA,2,3.0
GARBATOWSKI WIESLAW,9,9.0
GARBICZ DAMIAN,2,2.4166666666666665
GARCZAREK PIOTR,1,5.0
GARDAS MATEUSZ,1,3.0
GARDZINSKI PAWEL,2,3.9444444444444446
GARSTECKI PIOTR,66,13.058823529411764
GARSTKA MACIEJ,1,6.2
GASZTYCH DIONIZY,1,4.0
GAWARECKA KATARZYNA,2,3.5
GAWDZINSKA KATARZYNA,2,2.5
GAWENDA TOMASZ,1,1.0
GAWIN RAFAL,10,49.0
GAWLIK WOJCIECH,1,3.0
GAWLIKOWSKI MACIEJ,1,3.0
GAWOR JAN,4,4.0
GAWORSKA-KONIAREK DOMINIKA,2,3.8
GAWRONSKA IWONA,4,4.0
GAWRONSKA-SZKLARZ BARBARA,3,1.3
GAZDOWICZ GRZEGORZ,1,2.0
GDULA PAWEL,1,6.0
GEBAROWSKA KATARZYNA,2,2.5
GEBICKI JERZY,72,17.5
GEWARTOWSKI KAMIL,9,35.0
GIECZEWSKA KATARZYNA,1,1.0
GIEL-PIETRASZUK MALGORZATA,4,19.217391304347824
GIELARA-KORZANSKA AGNIESZKA,4,4.5
GIELETA ROMAN,3,3.2758620689655173
GIERALTOWSKA SYLWIA,10,8.857142857142858
GIERLIKOWSKI WOJCIECH,2,2.125
GIERLOTKA STANISLAW,8,10.8
GIL BARBARA,3,6.2
GIL MALGORZATA,3,2.0
GILNER DANUTA,10,9.25
GINALSKI KRZYSZTOF,1,11.75
GLICE MAGDALENA,11,17.0
GLINIEWICZ BARTLOMIEJ,5,5.0
GLISCINSKA EULALIA,1,8.125
GLOWINSKA AGNIESZKA,1,55.0
GNAROWSKI WLODZIMIERZ,4,3.5
GNYBA MARCIN,2,2.6315789473684212
GODLEWSKI MAREK,10,6.5
GOLAB JAKUB,9,5.285714285714286
GOLANSKI JACEK,2,3.4
GOLDA ADAM,1,5.0
GOLDA-CEPA MONIKA,2,15.0
GOLEBIEWSKI JAN,1,8.333333333333334
GOLEBIOWSKI ADAM,118,2.3333333333333335
GOLIK JERZY,84,54.90909090909091
GOLINSKI JERZY,1,11.8
GOLUNSKI LUKASZ,1,15.666666666666666
GONDELA ANDRZEJ,7,3.782608695652174
GONET ANDRZEJ,4,3.0
GONSIOR MALGORZATA,2,14.0
GORA JOZEF,1,6.0
GORA MONIKA,2,2.0
GORA-SOCHACKA ANNA,9,10.833333333333334
GORCZYCA GRZEGORZ,8,5.230769230769231
GORCZYNSKA IWONA,1,24.07894736842105
GORECKI PAWEL,5,1.0
GORECKI WOJCIECH,1,17.333333333333332
GORNY ZBIGNIEW,2,5.0
GORSKI ANDRZEJ,56,11.0
GORSKI BOHDAN,14,17.7
GORSKI KRZYSZTOF,2,1.0
GORZKIEWICZ MICHAL,1,7.9
GOSIEWSKI KRZYSZTOF,6,42.0
GOSIEWSKI TOMASZ,12,8.538461538461538
GOTFRYD LESZEK,2,2.0
GOZDEK AGNIESZKA,11,6.25
GRABIEC PIOTR,13,27.46153846153846
GRABOWSKA ANNA,11,2.0
GRABOWSKA BEATA,3,3.375
GRABOWSKA EWELINA,7,5.333333333333333
GRABOWSKA IWONA,7,2.3333333333333335
GRABOWSKA KAROLINA,2,15.25
GRABOWSKA KATARZYNA,2,1.0
GRABOWSKI KAMIL,3,2.0
GRABOWSKI MACIEJ,1,1.6
GRACZYK ALFREDA,8,3.125
GRADON LEON,32,8.333333333333334
GRADON RYSZARD,2,6.0
GRAJEK TOMASZ,23,27.157894736842106
GRAJEK WLODZIMIERZ,2,1.6
GRAJKOWSKI ANDRZEJ,19,14.0
GRAJKOWSKI WOJCIECH,5,4.555555555555555
GRALEC BARBARA,5,15.666666666666666
GRAMSZ JERZY,2,22.5
GRANKOWSKI NIKODEM,1,1.5
GRANOWSKI ROBERT,9,9.0
GRASSMANN KAMIL,8,8.0
GRASZA KRZYSZTOF,2,2.4545454545454546
GREBOWICZ JANUSZ,1,3.5
GREGOROWICZ JACEK,3,3.5
GRELA KAROL,65,10.0
GRIEB PAWEL,2,6.333333333333333
GROBELNY DAMIAN,41,10.0
GROCHOWINA MARCIN,18,4.5
GROCHOWSKI JACEK,5,2.6666666666666665
GRODNER JACEK,3,27.0
GRODZIK MARTA,3,3.7384615384615385
GROLIER JEAN-PIERRE,3,10.0
GROMADKA ROBERT,4,5.235294117647059
GROMADZKA BEATA,9,11.6
GRONWALD JACEK,19,25.2
GROSMAN FRANCISZEK,2,8.75
GRUDZIEN KRZYSZTOF,1,2.8260869565217392
GRUZA MARIUSZ,12,10.8
GRYBOS RYSZARD,1,1.0
GRYCHOWSKA KATARZYNA,10,23.7
GRYCZAN PIOTR,1,1.0
GRYGIELEWICZ PAULINA,9,21.137931034482758
GRYGLEWICZ GRAZYNA,1,1.0
GRYGORCZUK JERZY,9,5.0
GRYKO DANIEL,36,35.0
GRYKO ROMUALD,5,5.625
GRYNKIEWICZ GRZEGORZ,49,42.25
GRYSA KRZYSZTOF,3,6.0
GRZANKA SZYMON,2,11.8
GRZEBIENIAK KAROLINA,9,1.0
GRZEGORCZYK MONIKA,2,2.75
GRZEGORY IZABELLA,35,18.22222222222222
GRZELAK KRYSTYNA,3,2.7142857142857144
GRZESIUK ELZBIETA,2,14.0
GRZESZCZYK BARBARA,2,9.083333333333334
GRZYBEK GABRIELA,1,11.25
GRZYBKOWSKI WACLAW,3,2.1666666666666665
GRZYBOWSKA JOLANTA,12,36.07692307692308
GRZYWA EDWARD,22,12.0
GRZYWA RENATA,1,11.25
